"OutcomeType","gender","hasName","ageWeeks","isDog","isMix","month","weekday","hourOfDay","isFixed","newBreed","newColor"
"Transfer","Female","0",52,"0","1",7,"Monday",9,"0","Domestic Shorthair Mix","Tortie"
"Adoption","Female","1",12,"0","1",10,"Monday",18,"1","Domestic Shorthair Mix","Brown Tabby"
"Transfer","Female","0",3,"0","1",6,"Thursday",17,"0","Domestic Shorthair Mix","Blue Tabby/White"
"Adoption","Male","1",104,"1","1",5,"Thursday",12,"1","Other","Other"
"Adoption","Female","1",8,"0","1",11,"Tuesday",16,"1","Domestic Shorthair Mix","Orange Tabby/White"
"Transfer","Male","0",1,"0","1",10,"Sunday",15,"0","Domestic Shorthair Mix","Black"
"Adoption","Female","1",8,"0","1",8,"Sunday",13,"1","Domestic Shorthair Mix","Calico"
"Transfer","Male","0",52,"1","1",7,"Friday",16,"0","Chihuahua Shorthair Mix","Tan"
"Return_to_owner","Female","1",208,"1","1",9,"Tuesday",14,"1","Other","Other"
"Adoption","Male","1",104,"1","0",7,"Monday",12,"1","Other","Brown/White"
"Transfer","Male","1",52,"0","1",8,"Wednesday",13,"0","Domestic Shorthair Mix","Orange Tabby/White"
"Euthanasia","Female","1",572,"1","1",5,"Friday",18,"1","Yorkshire Terrier Mix","Brown/Black"
"Transfer","Female","1",4,"0","1",10,"Tuesday",15,"0","Domestic Shorthair Mix","Black"
"Adoption","Female","1",104,"1","1",9,"Wednesday",11,"1","Dachshund Mix","Tan/White"
"Transfer","Unknown","0",2,"0","1",7,"Thursday",17,"0","Domestic Shorthair Mix","Black"
"Return_to_owner","Female","1",312,"1","1",10,"Tuesday",18,"1","Other","White"
"Transfer","Male","1",24,"1","1",12,"Monday",15,"1","Other","Black/White"
"Transfer","Female","1",8,"1","0",9,"Tuesday",15,"0","Other","Other"
"Transfer","Unknown","0",8,"0","1",6,"Tuesday",9,"0","Domestic Shorthair Mix","Brown Tabby/White"
"Adoption","Female","1",52,"1","1",5,"Saturday",18,"1","Chihuahua Shorthair Mix","Red"
"Adoption","Male","1",8,"1","1",4,"Wednesday",17,"1","Other","Brown"
"Transfer","Male","1",104,"1","1",1,"Friday",14,"1","Pit Bull Mix","Brown Brindle/White"
"Adoption","Female","0",156,"1","0",3,"Tuesday",18,"1","Other","White"
"Return_to_owner","Female","1",52,"0","1",8,"Tuesday",11,"0","Domestic Shorthair Mix","Black"
"Return_to_owner","Female","1",208,"1","1",12,"Saturday",16,"1","Yorkshire Terrier Mix","Other"
"Transfer","Female","1",104,"1","0",8,"Wednesday",14,"1","Other","Tan"
"Adoption","Female","1",12,"0","0",6,"Sunday",17,"1","Other","Brown Tabby"
"Euthanasia","Female","0",52,"0","1",3,"Friday",17,"0","Domestic Shorthair Mix","Calico"
"Adoption","Male","1",8,"1","0",6,"Sunday",16,"1","Other","Black"
"Transfer","Female","0",104,"0","1",12,"Sunday",19,"1","Domestic Shorthair Mix","Black/White"
"Adoption","Male","1",52,"1","0",12,"Thursday",12,"1","Other","White"
"Euthanasia","Unknown","0",2,"0","1",9,"Tuesday",12,"0","Domestic Shorthair Mix","Blue Tabby"
"Transfer","Unknown","1",4,"0","1",5,"Saturday",18,"0","Siamese Mix","Other"
"Transfer","Male","0",104,"0","1",10,"Monday",9,"0","Domestic Shorthair Mix","Blue Tabby"
"Euthanasia","Male","1",624,"1","1",2,"Monday",17,"1","Pit Bull Mix","Brown Brindle"
"Adoption","Male","0",52,"1","0",9,"Sunday",18,"1","Other","Brown/White"
"Adoption","Male","1",8,"0","1",7,"Saturday",15,"1","Domestic Shorthair Mix","Black"
"Transfer","Male","0",2,"0","1",7,"Tuesday",15,"0","Domestic Shorthair Mix","Black"
"Transfer","Female","0",12,"1","1",4,"Saturday",18,"0","Labrador Retriever Mix","Black/White"
"Adoption","Female","0",12,"0","1",11,"Monday",15,"1","Domestic Medium Hair Mix","Calico"
"Adoption","Male","1",20,"1","1",12,"Tuesday",14,"1","Other","Brown Brindle/White"
"Adoption","Female","1",156,"1","0",2,"Sunday",14,"1","Other","Black"
"Transfer","Female","1",364,"1","0",4,"Thursday",11,"1","Other","White/Black"
"Euthanasia","Female","1",104,"1","1",2,"Friday",18,"1","German Shepherd Mix","Black/Tan"
"Adoption","Female","1",16,"0","1",12,"Monday",15,"1","Domestic Shorthair Mix","Black"
"Adoption","Female","1",468,"1","0",11,"Sunday",14,"1","Other","White/Brown"
"Transfer","Male","1",28,"1","1",12,"Sunday",15,"1","Border Collie Mix","Black/White"
"Adoption","Male","0",8,"0","1",7,"Monday",19,"1","Domestic Shorthair Mix","Black/White"
"Transfer","Male","0",156,"0","1",10,"Friday",9,"0","Domestic Shorthair Mix","Black/White"
"Adoption","Male","0",156,"1","1",1,"Wednesday",16,"1","Other","Other"
"Adoption","Male","1",260,"1","1",5,"Thursday",17,"1","Chihuahua Shorthair Mix","Tan/White"
"Transfer","Male","1",260,"1","1",1,"Thursday",12,"1","Boxer Mix","Brown Brindle/White"
"Transfer","Female","0",2,"0","1",10,"Wednesday",11,"0","Domestic Medium Hair Mix","Blue"
"Transfer","Unknown","0",2,"0","1",7,"Sunday",14,"0","Domestic Shorthair Mix","Black"
"Transfer","Female","1",208,"0","1",1,"Thursday",14,"1","Domestic Shorthair Mix","Torbie"
"Return_to_owner","Male","1",208,"1","1",4,"Wednesday",18,"1","Cairn Terrier Mix","Tan/White"
"Adoption","Male","1",8,"0","1",7,"Sunday",18,"1","Domestic Shorthair Mix","Brown Tabby"
"Return_to_owner","Female","1",104,"1","1",12,"Friday",12,"1","Chihuahua Shorthair Mix","Black/Tan"
"Adoption","Male","1",104,"1","1",3,"Sunday",18,"1","Other","White"
"Return_to_owner","Male","1",468,"1","1",3,"Saturday",11,"1","Dachshund Mix","Black/Brown"
"Return_to_owner","Male","1",260,"1","1",2,"Tuesday",18,"1","Beagle Mix","Tricolor"
"Euthanasia","Male","1",52,"1","0",12,"Friday",16,"1","Chihuahua Shorthair/Dachshund","Other"
"Adoption","Female","1",104,"1","1",10,"Sunday",16,"1","Pit Bull Mix","Other"
"Transfer","Male","0",3,"0","1",5,"Tuesday",15,"0","Domestic Shorthair Mix","Brown Tabby"
"Transfer","Male","1",20,"1","1",7,"Monday",15,"0","Pit Bull Mix","White/Brown"
"Euthanasia","Male","0",312,"0","1",1,"Monday",16,"0","Domestic Shorthair Mix","Orange Tabby"
"Adoption","Female","1",52,"1","1",3,"Saturday",15,"1","Chihuahua Shorthair Mix","Tan"
"Transfer","Male","1",12,"1","1",11,"Thursday",0,"0","Chihuahua Shorthair Mix","Black/White"
"Transfer","Female","1",4,"0","1",10,"Saturday",18,"0","Domestic Longhair Mix","Calico"
"Return_to_owner","Female","1",156,"1","1",5,"Sunday",16,"1","Chihuahua Shorthair Mix","Brown"
"Return_to_owner","Male","1",260,"1","1",4,"Monday",17,"1","Dachshund Mix","Black"
"Adoption","Male","1",416,"1","0",5,"Monday",11,"1","Other","Black"
"Adoption","Female","0",8,"1","1",9,"Sunday",14,"1","Labrador Retriever Mix","Black/White"
"Euthanasia","Female","0",364,"0","1",11,"Friday",11,"0","Domestic Shorthair Mix","Tortie"
"Adoption","Female","1",8,"0","1",10,"Friday",18,"0","Domestic Shorthair Mix","Black"
"Adoption","Male","1",260,"1","0",9,"Thursday",17,"1","Other","Black"
"Adoption","Male","1",52,"1","1",1,"Sunday",17,"1","Pit Bull Mix","White/Brown"
"Transfer","Male","0",12,"0","1",8,"Sunday",9,"0","Domestic Shorthair Mix","Brown Tabby"
"Return_to_owner","Male","1",104,"1","1",3,"Sunday",18,"1","Chihuahua Shorthair Mix","Brown/White"
"Return_to_owner","Female","1",468,"1","1",1,"Sunday",11,"1","Labrador Retriever Mix","Chocolate/White"
"Adoption","Female","1",156,"1","1",10,"Thursday",17,"1","Pit Bull Mix","Red/White"
"Return_to_owner","Female","1",156,"0","1",10,"Monday",18,"1","Domestic Shorthair Mix","Calico"
"Adoption","Female","1",52,"1","0",1,"Friday",14,"1","Other","Black/White"
"Transfer","Female","1",104,"1","1",1,"Friday",15,"1","Chihuahua Shorthair Mix","Black/Tan"
"Return_to_owner","Female","1",52,"1","0",12,"Tuesday",17,"1","Other","Brown Brindle"
"Transfer","Male","1",104,"0","1",6,"Tuesday",16,"1","Siamese Mix","Other"
"Return_to_owner","Female","1",104,"1","1",5,"Saturday",15,"1","Other","Brown"
"Transfer","Female","0",104,"0","1",6,"Wednesday",9,"0","Domestic Shorthair Mix","Blue/White"
"Transfer","Unknown","0",12,"0","1",10,"Tuesday",9,"0","Domestic Shorthair Mix","Tortie"
"Adoption","Female","1",4,"1","0",11,"Sunday",18,"1","Other","Tricolor"
"Adoption","Male","0",8,"0","1",8,"Tuesday",13,"1","Domestic Shorthair Mix","Orange Tabby/White"
"Adoption","Male","0",40,"0","1",2,"Sunday",19,"1","Domestic Medium Hair Mix","Other"
"Transfer","Female","1",104,"0","1",2,"Tuesday",16,"1","Domestic Medium Hair Mix","Brown Tabby/White"
"Adoption","Female","1",8,"0","1",6,"Sunday",15,"1","Domestic Medium Hair Mix","Calico"
"Adoption","Male","1",24,"1","1",11,"Sunday",19,"1","Labrador Retriever Mix","Other"
"Adoption","Female","1",8,"0","1",11,"Saturday",19,"1","Domestic Shorthair Mix","Brown Tabby"
"Adoption","Female","0",52,"1","1",9,"Friday",18,"1","Dachshund Mix","Tan"
"Transfer","Female","1",24,"1","1",10,"Wednesday",14,"0","Dachshund Mix","Brown/White"
"Adoption","Female","1",52,"0","1",6,"Sunday",17,"1","Domestic Shorthair Mix","Black/White"
"Transfer","Male","0",3,"0","1",9,"Friday",18,"0","Domestic Shorthair Mix","Calico"
"Adoption","Male","1",104,"0","1",2,"Friday",14,"1","Domestic Shorthair Mix","Brown Tabby"
"Adoption","Female","1",44,"1","1",11,"Saturday",13,"1","Other","Blue/White"
"Transfer","Male","0",12,"1","1",3,"Monday",16,"1","Rat Terrier Mix","Tricolor"
"Return_to_owner","Female","1",104,"1","0",2,"Monday",12,"1","Other","Brown"
"Transfer","Male","1",104,"1","1",9,"Saturday",12,"1","Pit Bull Mix","Red"
"Adoption","Male","1",104,"1","1",8,"Saturday",11,"1","Pit Bull Mix","Brown/White"
"Adoption","Female","1",16,"0","0",7,"Thursday",18,"1","Other","Calico"
"Transfer","Female","0",16,"1","0",8,"Monday",15,"0","Other","Red"
"Transfer","Female","0",20,"0","1",9,"Monday",9,"0","Domestic Shorthair Mix","Torbie"
"Adoption","Male","1",8,"0","1",12,"Wednesday",11,"1","Domestic Shorthair Mix","Other"
"Transfer","Male","1",364,"1","1",7,"Wednesday",15,"1","Chihuahua Shorthair Mix","Brown/White"
"Adoption","Male","1",208,"0","1",1,"Saturday",16,"1","Domestic Shorthair Mix","Black/White"
"Transfer","Female","0",3,"0","1",9,"Thursday",11,"0","Domestic Shorthair Mix","Other"
"Adoption","Male","1",24,"1","1",12,"Sunday",17,"1","Border Collie Mix","Black/White"
"Adoption","Female","1",20,"1","1",8,"Saturday",17,"0","Labrador Retriever Mix","Black/White"
"Return_to_owner","Female","1",416,"1","0",1,"Wednesday",11,"1","Other","White"
"Adoption","Male","0",8,"0","1",7,"Sunday",17,"1","Domestic Shorthair Mix","Black"
"Adoption","Female","1",4,"0","1",7,"Monday",18,"1","Domestic Shorthair Mix","Blue Tabby/White"
"Return_to_owner","Female","0",20,"1","1",2,"Monday",18,"1","Labrador Retriever Mix","White"
"Transfer","Male","1",4,"0","1",5,"Saturday",13,"0","Domestic Shorthair Mix","Brown Tabby"
"Transfer","Male","0",16,"0","1",10,"Thursday",9,"0","Domestic Shorthair Mix","Blue Tabby"
"Adoption","Female","1",52,"1","1",8,"Saturday",11,"1","Chihuahua Shorthair Mix","White/Tan"
"Adoption","Male","1",104,"1","0",8,"Sunday",16,"1","Other","Black/Brown"
"Transfer","Female","1",572,"0","1",11,"Monday",15,"1","Domestic Shorthair Mix","Tortie"
"Adoption","Male","0",8,"1","0",6,"Thursday",9,"1","Other","Tricolor"
"Transfer","Male","1",8,"0","1",9,"Tuesday",0,"1","Domestic Shorthair Mix","White/Black"
"Adoption","Female","1",8,"0","1",10,"Thursday",18,"0","Domestic Shorthair Mix","Brown Tabby"
"Adoption","Female","1",4,"1","0",4,"Monday",14,"1","Other","Other"
"Return_to_owner","Female","1",364,"1","0",5,"Monday",11,"1","Other","White/Tan"
"Transfer","Male","0",0.57,"0","1",5,"Wednesday",13,"0","Domestic Shorthair Mix","Other"
"Return_to_owner","Male","1",208,"1","0",11,"Monday",13,"1","Other","Other"
"Transfer","Female","1",104,"1","1",12,"Tuesday",0,"1","Australian Cattle Dog Mix","Tan/White"
"Return_to_owner","Female","1",52,"1","1",11,"Saturday",13,"1","Other","White/Black"
"Return_to_owner","Male","1",104,"1","1",12,"Wednesday",17,"1","Pit Bull Mix","Brown Brindle/White"
"Transfer","Female","0",4,"0","1",9,"Wednesday",18,"0","Domestic Medium Hair Mix","Brown Tabby"
"Transfer","Female","1",52,"0","1",11,"Friday",11,"0","Domestic Shorthair Mix","Black/White"
"Adoption","Female","1",104,"1","0",5,"Tuesday",17,"1","Other","Other"
"Transfer","Male","0",40,"0","1",10,"Thursday",12,"0","Domestic Shorthair Mix","Orange Tabby"
"Transfer","Female","1",208,"1","1",3,"Saturday",12,"1","German Shepherd Mix","White"
"Adoption","Female","1",16,"0","1",7,"Wednesday",17,"1","Domestic Shorthair Mix","Brown Tabby/White"
"Transfer","Female","1",312,"1","0",5,"Wednesday",11,"1","Other","White/Tan"
"Adoption","Female","0",36,"1","1",5,"Friday",17,"1","Miniature Poodle Mix","Black/White"
"Adoption","Female","1",156,"1","0",9,"Saturday",14,"1","Other","Red"
"Adoption","Female","1",32,"0","1",11,"Sunday",12,"1","Domestic Shorthair Mix","Torbie"
"Adoption","Female","1",40,"1","0",5,"Thursday",16,"1","Other","Other"
"Transfer","Male","0",52,"0","1",9,"Tuesday",0,"1","Domestic Shorthair Mix","Other"
"Adoption","Male","1",52,"1","1",10,"Tuesday",16,"1","Catahoula Mix","Other"
"Adoption","Male","1",52,"1","1",7,"Friday",18,"1","Labrador Retriever Mix","Black/White"
"Adoption","Male","1",12,"1","1",7,"Thursday",15,"1","Labrador Retriever Mix","Other"
"Return_to_owner","Male","1",312,"1","1",11,"Tuesday",18,"0","Chihuahua Shorthair Mix","Other"
"Transfer","Unknown","0",52,"0","1",1,"Tuesday",15,"0","Domestic Longhair Mix","Black"
"Return_to_owner","Male","1",104,"1","1",4,"Thursday",10,"1","Other","Tan/White"
"Adoption","Female","0",260,"1","1",11,"Saturday",18,"1","Other","Tan/White"
"Euthanasia","Male","0",624,"0","1",5,"Sunday",17,"1","Domestic Longhair Mix","Orange Tabby/White"
"Adoption","Female","1",104,"1","1",4,"Tuesday",12,"1","German Shepherd Mix","Other"
"Adoption","Male","1",312,"1","1",10,"Saturday",18,"1","Labrador Retriever Mix","Black/White"
"Adoption","Male","1",12,"0","1",6,"Saturday",18,"1","Domestic Shorthair Mix","Black"
"Return_to_owner","Female","1",32,"1","1",2,"Saturday",11,"1","Other","Tricolor"
"Transfer","Male","1",52,"0","1",12,"Friday",15,"1","Domestic Shorthair Mix","Black"
"Transfer","Female","1",780,"0","1",10,"Saturday",15,"0","Domestic Shorthair Mix","Black"
"Transfer","Female","0",3,"1","1",10,"Wednesday",17,"0","Other","Chocolate/White"
"Adoption","Male","1",20,"1","0",11,"Thursday",16,"1","Other","White/Brown"
"Adoption","Male","0",104,"1","0",5,"Wednesday",19,"1","Other","Black/White"
"Adoption","Female","1",104,"1","1",12,"Tuesday",9,"1","Other","Brown Brindle/White"
"Return_to_owner","Male","1",104,"1","1",11,"Friday",14,"0","Australian Shepherd Mix","Other"
"Adoption","Female","0",104,"1","1",1,"Monday",14,"1","Labrador Retriever Mix","Tan/White"
"Transfer","Female","0",3,"0","1",9,"Friday",18,"0","Domestic Shorthair Mix","Calico"
"Transfer","Female","1",52,"1","1",5,"Thursday",13,"1","Pit Bull Mix","Other"
"Transfer","Male","0",104,"0","1",3,"Saturday",9,"0","Domestic Shorthair Mix","Brown Tabby/White"
"Transfer","Male","1",4,"0","1",10,"Wednesday",15,"0","Domestic Shorthair Mix","Brown Tabby"
"Transfer","Male","1",208,"1","1",4,"Tuesday",15,"1","Chihuahua Shorthair Mix","White/Brown"
"Transfer","Male","0",3,"0","1",6,"Tuesday",19,"0","Domestic Shorthair Mix","Brown Tabby"
"Adoption","Male","1",8,"0","1",5,"Tuesday",8,"0","Domestic Shorthair Mix","Black"
"Transfer","Female","1",52,"1","1",2,"Tuesday",15,"1","Rat Terrier Mix","White/Black"
"Adoption","Female","1",8,"1","1",5,"Friday",16,"1","Other","Brown/White"
"Adoption","Female","1",52,"1","0",11,"Monday",17,"1","Other","Black/White"
"Adoption","Female","0",156,"1","1",7,"Tuesday",17,"1","Cairn Terrier Mix","Other"
"Euthanasia","Male","1",468,"1","0",1,"Monday",18,"1","Other","Black"
"Return_to_owner","Female","1",104,"0","1",9,"Monday",15,"1","Domestic Shorthair Mix","White/Black"
"Transfer","Female","0",260,"1","0",12,"Monday",14,"1","Other","Black/White"
"Return_to_owner","Male","1",104,"1","1",11,"Sunday",18,"0","Chihuahua Shorthair Mix","Black/White"
"Return_to_owner","Male","1",104,"1","0",5,"Friday",11,"1","Other","Brown"
"Return_to_owner","Male","1",364,"1","0",11,"Tuesday",16,"1","Other","Brown/Black"
"Transfer","Female","0",52,"0","1",7,"Monday",9,"0","Domestic Shorthair Mix","Brown Tabby/White"
"Adoption","Female","1",312,"0","1",11,"Saturday",15,"1","Domestic Shorthair Mix","Black/White"
"Adoption","Male","1",8,"0","1",7,"Saturday",20,"1","Domestic Shorthair Mix","Orange Tabby/White"
"Return_to_owner","Female","1",52,"1","1",5,"Sunday",18,"1","Chihuahua Shorthair Mix","Other"
"Adoption","Male","0",8,"0","1",11,"Thursday",17,"1","Domestic Shorthair Mix","Orange Tabby/White"
"Return_to_owner","Female","1",312,"1","1",11,"Saturday",14,"1","Other","Brown Brindle"
"Transfer","Male","0",8,"0","1",5,"Tuesday",16,"0","Domestic Shorthair Mix","Brown Tabby/White"
"Adoption","Female","1",104,"1","1",6,"Wednesday",15,"1","Chihuahua Shorthair Mix","Brown/Black"
"Adoption","Male","1",364,"0","1",8,"Tuesday",18,"1","Siamese Mix","Other"
"Adoption","Female","1",12,"0","1",12,"Sunday",12,"1","Domestic Shorthair Mix","Brown Tabby/White"
"Adoption","Male","1",156,"1","1",11,"Thursday",18,"1","Other","Red"
"Transfer","Female","0",104,"0","1",4,"Tuesday",15,"0","Domestic Shorthair Mix","Black"
"Adoption","Female","0",364,"1","0",12,"Sunday",17,"1","Other","Other"
"Euthanasia","Male","0",4,"0","1",5,"Sunday",17,"0","Domestic Shorthair Mix","Other"
"Return_to_owner","Female","1",104,"1","1",11,"Saturday",19,"1","Pit Bull Mix","Brown/White"
"Return_to_owner","Female","1",20,"1","1",8,"Wednesday",0,"0","Boxer Mix","Black/White"
"Transfer","Male","1",208,"1","0",6,"Tuesday",11,"1","Other","Black/White"
"Return_to_owner","Male","1",104,"1","1",3,"Thursday",17,"1","Labrador Retriever Mix","Other"
"Transfer","Female","1",364,"1","1",2,"Sunday",0,"1","Other","Tricolor"
"Adoption","Male","1",52,"1","0",7,"Sunday",12,"1","Other","Brown"
"Transfer","Male","0",4,"0","1",12,"Wednesday",12,"1","Domestic Shorthair Mix","Orange Tabby/White"
"Adoption","Male","1",4,"1","0",1,"Saturday",13,"1","Other","Black/Brown"
"Adoption","Male","1",8,"0","1",9,"Sunday",14,"1","Other","White/Black"
"Transfer","Female","0",156,"0","1",10,"Tuesday",9,"0","Domestic Shorthair Mix","Blue"
"Transfer","Female","1",208,"1","0",7,"Wednesday",13,"1","Other","Tan/White"
"Adoption","Female","1",52,"1","1",10,"Saturday",12,"1","Pit Bull Mix","Black/White"
"Adoption","Female","1",104,"1","1",8,"Sunday",18,"1","Other","Black/White"
"Transfer","Female","1",520,"1","0",5,"Thursday",15,"1","Other","Other"
"Adoption","Male","1",8,"0","1",10,"Saturday",16,"1","Domestic Shorthair Mix","Brown Tabby"
"Adoption","Female","1",520,"1","1",4,"Saturday",18,"1","Chihuahua Shorthair Mix","Tan"
"Adoption","Female","1",104,"0","1",7,"Sunday",14,"1","Domestic Longhair Mix","Brown Tabby/White"
"Return_to_owner","Female","1",364,"1","1",7,"Monday",11,"1","Rat Terrier Mix","White/Black"
"Adoption","Male","0",52,"1","0",8,"Monday",17,"1","Other","Other"
"Transfer","Male","1",260,"1","1",9,"Thursday",13,"1","Pit Bull Mix","Brown Brindle/White"
"Return_to_owner","Female","1",312,"1","1",3,"Monday",17,"1","Chihuahua Shorthair Mix","Other"
"Transfer","Unknown","0",1,"0","1",8,"Saturday",15,"0","Domestic Shorthair Mix","Brown Tabby"
"Euthanasia","Female","0",364,"1","1",7,"Thursday",18,"1","Pit Bull Mix","Tan/White"
"Adoption","Male","1",52,"1","1",10,"Wednesday",17,"1","Chihuahua Longhair Mix","Black"
"Adoption","Male","1",52,"1","0",7,"Thursday",12,"1","Other","White/Brown"
"Transfer","Female","0",2,"0","1",5,"Sunday",17,"0","Domestic Shorthair Mix","Orange Tabby"
"Transfer","Female","0",52,"0","1",12,"Tuesday",15,"0","Domestic Shorthair Mix","Orange Tabby"
"Return_to_owner","Male","1",260,"1","0",12,"Wednesday",14,"1","Other","Black/Brown"
"Return_to_owner","Female","1",104,"1","1",8,"Monday",11,"1","Rottweiler Mix","Black/Tan"
"Adoption","Male","1",40,"1","1",3,"Tuesday",17,"1","Siberian Husky Mix","Other"
"Transfer","Female","0",12,"0","1",5,"Monday",14,"0","Domestic Shorthair Mix","Black"
"Adoption","Male","1",36,"1","0",2,"Friday",18,"1","Other","Other"
"Transfer","Female","0",4,"0","1",9,"Monday",15,"0","Domestic Shorthair Mix","Black/White"
"Transfer","Unknown","0",0,"0","1",4,"Friday",15,"0","Domestic Shorthair Mix","Blue"
"Transfer","Female","0",260,"0","1",11,"Tuesday",9,"1","Domestic Shorthair Mix","Calico"
"Adoption","Female","0",32,"1","1",2,"Saturday",21,"1","Chihuahua Shorthair Mix","Chocolate/White"
"Transfer","Male","0",52,"1","1",4,"Thursday",14,"0","Cairn Terrier Mix","Other"
"Adoption","Female","1",8,"0","1",10,"Wednesday",10,"1","Domestic Shorthair Mix","Orange Tabby"
"Return_to_owner","Male","1",12,"0","0",10,"Tuesday",17,"1","Domestic Shorthair","Black/White"
"Return_to_owner","Male","1",728,"1","1",4,"Monday",15,"0","Chihuahua Shorthair Mix","Chocolate/White"
"Return_to_owner","Male","1",364,"1","1",3,"Sunday",10,"1","Labrador Retriever Mix","Other"
"Adoption","Male","1",104,"1","0",1,"Sunday",11,"1","Other","Other"
"Transfer","Female","1",24,"1","1",11,"Thursday",0,"1","Other","Brown Brindle"
